game_pk,date,start_time_utc,venue,game_type,away_team,home_team,away_team_id,home_team_id,away_probable,home_probable,away_probable_id,home_probable_id,away_score,home_score,winner,home_won,total_runs,run_differential,double_header,game_number
718733,2023-04-02,2023-04-02T20:10:00Z,Petco Park,R,COL,SD,115,135,Austin Gomber,Seth Lugo,596295,607625,1,3,SD,1,4,2,N,1
718734,2023-04-02,2023-04-02T20:07:00Z,Oakland Coliseum,R,LAA,OAK,108,133,Tyler Anderson,Ken Waldichuk,542881,686610,6,0,LAA,0,6,6,N,1
718735,2023-04-02,2023-04-02T20:10:00Z,T-Mobile Park,R,CLE,SEA,114,136,Cal Quantrill,Marco Gonzales,615698,594835,6,5,CLE,0,11,1,N,1
718736,2023-04-02,2023-04-02T20:10:00Z,Dodger Stadium,R,AZ,LAD,109,119,Zach Davies,Noah Syndergaard,605200,592789,2,1,AZ,0,3,1,N,1
718737,2023-04-02,2023-04-02T18:15:00Z,Busch Stadium,R,TOR,STL,141,138,Chris Bassitt,Jordan Montgomery,605135,656756,4,9,STL,1,13,5,N,1
718738,2023-04-02,2023-04-02T18:20:00Z,Wrigley Field,R,MIL,CHC,158,112,Eric Lauer,Jameson Taillon,641778,592791,9,5,MIL,0,14,4,N,1
718739,2023-04-02,2023-04-02T23:08:00Z,Globe Life Field,R,PHI,TEX,143,140,Bailey Falter,Martín Pérez,663559,527048,1,2,TEX,1,3,1,N,1
718740,2023-04-02,2023-04-02T18:10:00Z,Minute Maid Park,R,CWS,HOU,145,117,Mike Clevinger,Luis Garcia,605182,677651,6,3,CWS,0,9,3,N,1
718741,2023-04-02,2023-04-02T17:40:00Z,loanDepot park,R,NYM,MIA,121,146,Kodai Senga,Trevor Rogers,673540,669432,5,1,NYM,0,6,4,N,1
718742,2023-04-02,2023-04-02T17:10:00Z,Tropicana Field,R,DET,TB,116,139,Joey Wentz,Jeffrey Springs,666214,605488,1,5,TB,1,6,4,N,1
718743,2023-04-02,2023-04-02T17:35:00Z,Nationals Park,R,ATL,WSH,144,120,Jared Shuster,MacKenzie Gore,694363,669022,1,4,WSH,1,5,3,N,1
718744,2023-04-02,2023-04-02T17:40:00Z,Great American Ball Park,R,PIT,CIN,134,113,Vince Velasquez,Graham Ashcraft,592826,668933,1,3,CIN,1,4,2,N,1
718745,2023-04-02,2023-04-02T18:10:00Z,Kauffman Stadium,R,MIN,KC,142,118,Joe Ryan,Brad Keller,657746,641745,7,4,MIN,0,11,3,N,1
718747,2023-04-02,2023-04-02T17:35:00Z,Yankee Stadium,R,SF,NYY,137,147,Ross Stripling,Jhony Brito,548389,666745,0,6,NYY,1,6,6,N,1
718748,2023-04-02,2023-04-02T17:35:00Z,Fenway Park,R,BAL,BOS,110,111,Cole Irvin,Tanner Houck,608344,656557,5,9,BOS,1,14,4,N,1
718718,2023-04-03,2023-04-04T02:10:00Z,Dodger Stadium,R,COL,LAD,115,119,Ryan Feltner,Michael Grove,663372,675627,4,13,LAD,1,17,9,N,1
718719,2023-04-03,2023-04-03T23:40:00Z,Kauffman Stadium,R,TOR,KC,141,118,José Berríos,Brady Singer,621244,663903,5,9,KC,1,14,4,N,1
718720,2023-04-03,2023-04-04T01:40:00Z,T-Mobile Park,R,LAA,SEA,108,136,Reid Detmers,George Kirby,672282,669923,7,3,LAA,0,10,4,N,1
718721,2023-04-03,2023-04-04T01:40:00Z,Oakland Coliseum,R,CLE,OAK,114,133,Zach Plesac,James Kaprielian,668676,621076,12,11,CLE,0,23,1,N,1
718722,2023-04-03,2023-04-04T01:40:00Z,Petco Park,R,AZ,SD,109,135,Ryne Nelson,Ryan Weathers,669194,677960,4,5,SD,1,9,1,N,1
718723,2023-04-03,2023-04-04T00:10:00Z,Minute Maid Park,R,DET,HOU,116,117,Matthew Boyd,Hunter Brown,571510,686613,7,6,DET,0,13,1,N,1
718724,2023-04-03,2023-04-03T23:10:00Z,Fenway Park,R,PIT,BOS,134,111,Johan Oviedo,Kutter Crawford,670912,676710,7,6,PIT,0,13,1,N,1
718725,2023-04-03,2023-04-03T23:05:00Z,Yankee Stadium,R,PHI,NYY,143,147,Taijuan Walker,Nestor Cortes,592836,641482,1,8,NYY,1,9,7,N,1
718726,2023-04-03,2023-04-04T00:05:00Z,Globe Life Field,R,BAL,TEX,110,140,Kyle Bradish,Jon Gray,680694,592351,2,0,BAL,0,2,2,N,1
718727,2023-04-03,2023-04-03T23:45:00Z,Busch Stadium,R,ATL,STL,144,138,Charlie Morton,Jake Woodford,450203,663765,8,4,ATL,0,12,4,N,1
718728,2023-04-03,2023-04-03T22:40:00Z,Great American Ball Park,R,CHC,CIN,112,113,Drew Smyly,Connor Overton,592767,656818,6,7,CIN,1,13,1,N,1
718729,2023-04-03,2023-04-03T22:40:00Z,loanDepot park,R,MIN,MIA,142,146,Tyler Mahle,Johnny Cueto,641816,456501,11,1,MIN,0,12,10,N,1
718730,2023-04-03,2023-04-03T19:10:00Z,Guaranteed Rate Field,R,SF,CWS,137,145,Anthony DeSclafani,Michael Kopech,543101,656629,12,3,SF,0,15,9,N,1
718731,2023-04-03,2023-04-03T18:10:00Z,American Family Field,R,NYM,MIL,121,158,Carlos Carrasco,Freddy Peralta,471911,642547,0,10,MIL,1,10,10,N,1
718732,2023-04-03,2023-04-03T23:05:00Z,Nationals Park,R,TB,WSH,139,120,Drew Rasmussen,Trevor Williams,656876,592866,6,2,TB,0,8,4,N,1
718703,2023-04-04,2023-04-05T02:10:00Z,Dodger Stadium,R,COL,LAD,115,119,Germán Márquez,Julio Urías,608566,628711,2,5,LAD,1,7,3,N,1
718705,2023-04-04,2023-04-05T00:10:00Z,Minute Maid Park,R,DET,HOU,116,117,Matt Manning,Framber Valdez,666159,664285,6,3,DET,0,9,3,N,1
718706,2023-04-04,2023-04-05T01:40:00Z,T-Mobile Park,R,LAA,SEA,108,136,José Suarez,Luis Castillo,660761,622491,2,11,SEA,1,13,9,N,1
718707,2023-04-04,2023-04-05T01:40:00Z,Oakland Coliseum,R,CLE,OAK,114,133,Shane Bieber,JP Sears,669456,676664,3,4,OAK,1,7,1,N,1
718708,2023-04-04,2023-04-04T23:40:00Z,Kauffman Stadium,R,TOR,KC,141,118,Yusei Kikuchi,Kris Bubic,579328,663460,4,1,TOR,0,5,3,N,1
718709,2023-04-04,2023-04-05T00:05:00Z,Globe Life Field,R,BAL,TEX,110,140,Kyle Gibson,Andrew Heaney,502043,571760,7,2,BAL,0,9,5,N,1
718710,2023-04-04,2023-04-04T23:05:00Z,Yankee Stadium,R,PHI,NYY,143,147,Matt Strahm,Domingo Germán,621381,593334,4,1,PHI,0,5,3,N,1
718711,2023-04-04,2023-04-04T23:45:00Z,Busch Stadium,R,ATL,STL,144,138,Dylan Dodd,Steven Matz,689266,571927,4,1,ATL,0,5,3,N,1
718712,2023-04-04,2023-04-04T23:40:00Z,American Family Field,R,NYM,MIL,121,158,Max Scherzer,Wade Miley,453286,489119,0,9,MIL,1,9,9,N,1
718713,2023-04-04,2023-04-04T23:10:00Z,Fenway Park,R,PIT,BOS,134,111,Roansy Contreras,Nick Pivetta,672710,601713,4,1,PIT,0,5,3,N,1
718714,2023-04-04,2023-04-04T22:40:00Z,loanDepot park,R,MIN,MIA,142,146,Kenta Maeda,Sandy Alcantara,628317,645261,0,1,MIA,1,1,1,N,1
718715,2023-04-04,2023-04-04T23:05:00Z,Nationals Park,R,TB,WSH,139,120,Josh Fleming,Chad Kuhl,676596,641771,10,6,TB,0,16,4,N,1
718716,2023-04-04,2023-04-04T22:40:00Z,Great American Ball Park,R,CHC,CIN,112,113,Hayden Wesneski,Luis Cessa,669713,570666,12,5,CHC,0,17,7,N,1
718717,2023-04-04,2023-04-04T20:10:00Z,Petco Park,R,AZ,SD,109,135,Zac Gallen,Yu Darvish,668678,506433,8,6,AZ,0,14,2,N,1
718689,2023-04-05,2023-04-05T19:37:00Z,Oakland Coliseum,R,CLE,OAK,114,133,Hunter Gaddis,Kyle Muller,683769,666205,6,4,CLE,0,10,2,N,1
718691,2023-04-05,2023-04-05T20:10:00Z,T-Mobile Park,R,LAA,SEA,108,136,Shohei Ohtani,Chris Flexen,660271,623167,4,3,LAA,0,7,1,N,1
718692,2023-04-05,2023-04-05T23:40:00Z,Kauffman Stadium,R,TOR,KC,141,118,Alek Manoah,Zack Greinke,666201,425844,3,0,TOR,0,3,3,N,1
718694,2023-04-05,2023-04-05T18:05:00Z,Globe Life Field,R,BAL,TEX,110,140,Grayson Rodriguez,Jacob deGrom,680570,594798,2,5,TEX,1,7,3,N,1
718695,2023-04-05,2023-04-05T18:10:00Z,Guaranteed Rate Field,R,SF,CWS,137,145,Logan Webb,Dylan Cease,657277,656302,3,7,CWS,1,10,4,N,1
718696,2023-04-05,2023-04-05T18:10:00Z,Minute Maid Park,R,DET,HOU,116,117,Eduardo Rodriguez,Cristian Javier,593958,664299,2,8,HOU,1,10,6,N,1
718697,2023-04-05,2023-04-05T17:15:00Z,Busch Stadium,R,ATL,STL,144,138,Bryce Elder,Miles Mikolas,693821,571945,5,2,ATL,0,7,3,N,1
718698,2023-04-05,2023-04-05T17:40:00Z,American Family Field,R,NYM,MIL,121,158,David Peterson,Corbin Burnes,656849,669203,6,7,MIL,1,13,1,N,1
718699,2023-04-05,2023-04-05T17:05:00Z,Yankee Stadium,R,PHI,NYY,143,147,Aaron Nola,Gerrit Cole,605400,543037,2,4,NYY,1,6,2,N,1
718701,2023-04-05,2023-04-05T17:10:00Z,loanDepot park,R,MIN,MIA,142,146,Pablo López,Jesús Luzardo,641154,666200,2,5,MIA,1,7,3,N,1
718702,2023-04-05,2023-04-05T17:35:00Z,Fenway Park,R,PIT,BOS,134,111,Mitch Keller,Corey Kluber,656605,446372,4,1,PIT,0,5,3,N,1
718704,2023-04-05,2023-04-05T17:05:00Z,Nationals Park,R,TB,WSH,139,120,Shane McClanahan,Patrick Corbin,663556,571578,7,2,TB,0,9,5,N,1
718681,2023-04-06,2023-04-06T23:20:00Z,Truist Park,R,SD,ATL,135,144,Blake Snell,Spencer Strider,605483,675911,6,7,ATL,1,13,1,N,1
718682,2023-04-06,2023-04-06T20:10:00Z,Coors Field,R,WSH,COL,120,115,Josiah Gray,Kyle Freeland,680686,607536,0,1,COL,1,1,1,N,1
718683,2023-04-06,2023-04-07T02:10:00Z,Chase Field,R,LAD,AZ,119,109,Dustin May,Merrill Kelly,669160,518876,5,2,LAD,0,7,3,N,1
718686,2023-04-06,2023-04-06T18:10:00Z,Kauffman Stadium,R,TOR,KC,141,118,Kevin Gausman,Jordan Lyles,592332,543475,6,3,TOR,0,9,3,N,1
718687,2023-04-06,2023-04-06T18:10:00Z,Guaranteed Rate Field,R,SF,CWS,137,145,Alex Wood,Lance Lynn,622072,458681,16,6,SF,0,22,10,N,1
718690,2023-04-06,2023-04-06T17:10:00Z,Comerica Park,R,BOS,DET,111,116,Chris Sale,Spencer Turnbull,519242,605513,6,3,BOS,0,9,3,N,1
718670,2023-04-07,2023-04-08T01:38:00Z,Angel Stadium,R,TOR,LAA,141,108,Chris Bassitt,Patrick Sandoval,605135,663776,4,3,TOR,0,7,1,N,1
718671,2023-04-07,2023-04-08T01:40:00Z,Chase Field,R,LAD,AZ,119,109,Clayton Kershaw,Madison Bumgarner,477132,518516,3,6,AZ,1,9,3,N,1
718673,2023-04-07,2023-04-08T00:40:00Z,Coors Field,R,WSH,COL,120,115,MacKenzie Gore,José Ureña,669022,570632,10,5,WSH,0,15,5,N,1
718674,2023-04-07,2023-04-08T00:10:00Z,American Family Field,R,STL,MIL,138,158,Jack Flaherty,Brandon Woodruff,656427,605540,0,4,MIL,1,4,4,N,1
718675,2023-04-07,2023-04-07T18:20:00Z,Wrigley Field,R,TEX,CHC,140,112,Nathan Eovaldi,Marcus Stroman,543135,573186,0,2,CHC,1,2,2,N,1
718676,2023-04-07,2023-04-07T23:20:00Z,Truist Park,R,SD,ATL,135,144,Nick Martinez,Jared Shuster,607259,694363,5,4,SD,0,9,1,N,1
